Event,DoD,Phases,,,,,,,,Non-Tech,ATA
A,,,,,,,,,,,
AIR APU BLEED FAULT (Ref: PNEU-01),1,1,,,,,,,,,36
AUTO FLT A/THR OFF (Ref: AUTO-01),1,,2,3,4,5,6,7,,,22
AUTO FLT A/THR OFF (Ref: MEL-01),1,1,,,,,,,,,22
AUTO FLT A/THR OFF/THRUST LOCKED (Ref: AUTO-02),2,,2,,,,,,,,22
AUTO FLT FCU 1+2 FAULT (Ref: AUTO-04),2,,2,3,4,5,6,,,,22
AUTO FLT FMGC 1+2 FAULT (Ref: AUTO-05),2,,2,3,4,5,6,,,,22
AUTO FLT MCDU 1+2 FAULT (Ref: AUTO-09),2,,2,3,4,5,6,,,,
AUTO FLT FD FAULT AT ROTATION (Ref: AUTO-03),1,,2,,,,,,,,22
AUTO FLT LOC Excessive Drift (Ref: AUTO-06),1,,,,,,6,,,,22
AUTO FLIGHT AUTO ROLL OUT FAULT (Ref: AUTO-08),1,,,,,,,7,,,22
AUTO FLT TCAS MODE FAILS before RA (Ref: AUTO-07),2,,,3,4,5,6,,,,22
B,,,,,,,,,,,
,,,,,,,,,,,
C,,,,,,,,,,,
CDL NACELLE STRAKE (Ref: CDL-01),1,1,,,,,,,,,54
CDL BELLY FAIRING SLIDING PANEL (Ref: CDL-02),1,1,,,,,,,,,57
CDL VORTEX GENERATOR (Ref: CDL-03),1,1,,,,,,,,,57
COM CABIN PA FAULT AFTER TAKE-OFF (Ref: COM-01),1,,2,,,,,,,,31
COM LOSS OF COMMS (GND BASED PROBLEM) (Ref: COM-03),1,,,3,4,5,,,,,
COM – VHF 1 CB TRIPS (Ref: COM-02),1,,2,3,4,5,6,,,,31
COND DUCT OVERHEAT (Ref: AIR-01),1,,,3,4,5,,,,,21
D,,,,,,,,,,,
DOOR FWD CARGO NOT CLOSED (Ref: DOOR-01),1,,,3,4,,,,,,52
DOOR LEAK (Ref: AIR-02),3,,,3,4,5,,,,,21
DOOR MAIN SLIDE FAULT (Ref: DOOR-02),1,,,3,4,,,,,,52
E,,,,,,,,,,,
EIS DU UNIT FAILURE (Ref: EIS-01),1,1,2,3,4,5,6,7,,,31
ELEC DC ESS BUS FAULT (Ref: ELEC-01),3,,,3,4,5,,,,,24
ELEC DC BUS 2 FAULT (Ref: ELEC-02),3,,,3,4,5,,,,,24
ELEC IDG OIL PRESS LO/OVHT (Ref: ELEC-03),1,,2,3,4,5,6,,,,24
ENG EGT OVERLIMIT (Ref: ENG-01),3,,2,3,4,5,6,,,,70
ENG FAIL (BIRD INGESTION ON ROTATION) (Ref: ENG-08),2,,2,,,,,,,,70
ENG FADEC FAULT (Ref: ENG-03),2,,2,3,4,5,6,,,,70
ENG FIRE (UNEXTINGUISHABLE) (Ref: ENG-09),3,,2,3,4,5,6,,,,70
ENG FUEL FILTER CLOGGED + ENG OIL TEMP HI (Ref: ENG-02),3,,,3,4,5,,,,,70
ENG HI N1 VIB (Ref: ENG-05),3,,2,3,4,5,6,,,,70
ENG REVERSER UNLOCKED (Ref: ENG-06),2,,2,3,4,5,6,,,,70
ENG STALL (Ref: ENG-07),1,,2,3,4,5,6,,,,70
ENG LOW OIL QUANTITY (Ref: ENG-04),1,,2,3,4,5,6,,,,70
ENG TAILPIPE FIRE (AFTER SHUTDOWN) (Ref: ENG-10),1,,,,,,,,8,,70
F,,,,,,,,,,,
F/CTL CAPT or F/O SIDE STICK FAULT (Ref: F/CTL-02),2,,2,3,4,5,6,7,,,27
F/CTL FLAPS LOCKED (Ref: F/CTL-01),3,,2,,,,6,,,,27
F/CTL STABILISER JAM (Ref: F/CTL-07),2,,,3,4,5,,,,,27
F/CTL ELAC 1 FAULT (on ground) (Ref: F/CTL-03),1,1,,,,,,,,,27
F/CTL SEC 1 FAULT (Ref: F/CTL-05),1,,2,3,4,5,,,,,27
F/CTL SLATS SYS 1+2 FAULT (on approach) (Ref: F/CTL-06),2,,,,,,6,,,,27
F/CTL SPEED BRAKE FAULT (Ref: F/CTL-04),1,1,2,3,4,5,,,,,27
F/CTL SPOILER FAULT following OVERSPEED (Ref: F/CTL-08),3,,,,4,,,,,,27
FIRE LITHIUM BATTERY FIRE (Ref: MISC-06),2,,,3,4,5,,,,,26
FUEL FQI 1+2 FAULT (RECOVERABLE) (Ref: FUEL-05),1,,,3,4,5,,,,,28
FUEL INCORRECT FUEL DISTRIBUTION (Ref: FUEL-03),1,1,,,,,,,,,28
FUEL SPILL DURING REFUELLING (Ref: MISC-33),1,1,,,,,,,,,
FUEL LEAK (Ref: FUEL-01),3,,,3,4,5,,,,,28
FUEL OUTER XFR FAULT (Ref: FUEL-02),2,,,,4,5,6,,,,28
FUEL LEFT INNER TK HI TEMP (Ref: FUEL-04),1,,,3,4,5,6,,,,28
H,,,,,,,,,,,
HYD (G) SYS LEAK AFTER LANDING (Ref: HYD-02),2,,,,,,,7,8,,29
HYD (G) SYS LOW LEVEL (Ref: HYD-01),2,,2,3,4,5,6,7,,,29
HYD (G/Y) SYS LEAK DURING TAKE-OFF ROLL (Ref: HYD-03),1,,2,,,,,,,,29
HYD (G) SYS OVHT (Ref: HYD-04),1,,,3,4,5,,,,,29
I,,,,,,,,,,,
ICE PITOT HEAT FAULT/NAV PITOT INLET BLOCKAGE (Ref: ICE-01),2,,,3,,,,,,,30
ICE WING ANTI-ICE FAULT (Ref: ICE-02),1,1,,,,,,,,,30
ICE PROBE HEATING FAULT (Ref: ICE-03),2,,,3,4,5,6,,,,30
ICE SEVERE ICE ACCRETION (Ref: ICE-04),1,,,,,5,6,,,,30
L,,,,,,,,,,,
L/G DOORS NOT CLOSED (at gear retraction) (Ref: LAND-01),2,,2,,,,,,,,32
L/G NOSE WHEEL LO PRESS/BURST (Ref: LAND-02),2,,2,,,,,7,,,32
L/G AUTO BRK FAULT (after RTO selected) (Ref: LAND-03),1,1,,,,,,,,,32
L/G BRAKES ANTI-SKID FAULT (Ref: LAND-04),2,,,3,4,5,6,,,,32
L/G GEAR NOT DOWN LOCKED (Ref: LAND-05),2,,,,,,6,,,,32
L/G WHEEL MAIN L/G TIRE BURST (on landing) (Ref: LAND-06),2,,,,,,,7,,,32
L/G N/W STEER FAULT (Ref: LAND-07),1,,,,,,,7,,,32
L/G NOSE WHEEL STEERING TILLER FAULT (Ref: LAND-08),1,,,,,,,7,,,32
M,,,,,,,,,,,
MEL AUTOTHRUST (A/THR) – (Ref: MEL-01),1,1,,,,,,,,,22
MEL FCU 1(2) FAULT (Ref: MEL-08),1,1,,,,,,,,,22
MEL SEC 2 FAULT (Ref: MEL-02),1,1,,,,,,,,,27
MEL AUTO/BRK FUNCTION (Ref: MEL-03),1,1,,,,,,,,,32
MEL ADR 2 FAULT (Ref: MEL-04),1,1,,,,,,,,,34
MEL ADR 3 FAULT (Ref: MEL-05),1,1,,,,,,,,,34
MEL REVERSER 1(2) FAULT (Ref: MEL-06),1,1,,,,,,,,,78
MEL START VALVE FAULT (Ref: MEL-07),1,1,,,,,,,,,80
MISC L CARGO HOLD EXCEEDING MAX WEIGHT (Ref: MISC-03),1,1,,,,,,,,,
MISC CHANGE IN SNOWFALL INTENSITY (Ref: MISC-01),1,1,,,,,,,,,
MISC EMER CABIN CREW CALL DURING T/O (Ref: MISC-02),1,,2,,,,,,,,
MISC T/O RWY PARTIALLY BLOCK (Ref: MISC-04),1,1,,,,,,,,,
MISC OVERSPEED (Ref: MISC-05),1,,,3,4,5,,,,,
MISC SEVERE TURBULENCE WITH INJURY (Ref: MISC-08),2,,,3,4,,,,,,
MISC BOMB ON BOARD (RED WARNING) (Ref: MISC-09),3,,,3,4,5,,,,,
MISC AIRSPACE CLOSED (Ref: MISC-10),1,,,3,4,5,,,,,
MISC G/A FROM INTERMEDIATE ALTITUDE (Ref: MISC-11),1,,,,,,6,,,,
MISC GLIDESLOPE INTCPT FROM ABOVE (Ref: MISC-12),1,,,,,,6,,,,
MISC EXCESSIVE TAILWIND ON APPROACH (Ref: MISC-13),1,,,,,,6,,,,
MISC LATE RUNWAY CHANGE (Ref: MISC-14),2,,,,,,6,,,,
MISC REPORT OF “POOR BRAKING ACTION” (Ref: MISC-15),2,,,,,,6,,,,
MISC PREDICTIVE WINDSHEAR (LANDING) (Ref: MISC-16),1,,,,,,6,,,,
MISC REDUCTION IN RFFS CATEGORY (Ref: MISC-17),1,,,,,,6,,,,
MISC RUNWAY LIGHTS FAILURE – DAY (Ref: MISC-18),1,,,,,,6,7,,,
MISC RUNWAY LIGHTS FAILURE – NIGHT (Ref: MISC-19),2,,,,,,6,7,,,
MISC SICK PAX ON ARRIVAL < FL150 (Ref: MISC-20),1,,,,,5,6,,,,
